user_id,persona,daily_listening_minutes,sessions_per_day,avg_session_minutes,days_active_last_30,skip_rate,ads_skipped_pct,repeat_track_rate,genre_diversity_score,liked_songs_pct,subscription_tenure_months,premium_flag,monthly_revenue,cluster,pca_1,pca_2
USR_001356,Casual Snackers,50.05,1.58,36.67,10,0.4297,0.4093,0.1071,0.4124,0.1778,14.2,0,1.87,0,-2.6147352411046123,0.44389785474163923
USR_001600,Casual Snackers,55.47,1.88,30.96,3,0.5608,0.506,0.8466,0.3271,0.7689,4.1,0,1.29,1,-0.8944585701345967,0.1740051356565456
USR_001754,Power Streamers,174.57,6.35,27.25,29,0.3038,0.8213,0.5746,0.6214,0.3841,48.6,1,6.5,2,1.6258543661650764,0.06511155750549562
USR_000942,Power Streamers,201.06,7.91,26.43,29,0.1453,0.8498,0.7234,0.5435,0.6186,75.1,1,6.5,2,2.837259166168716,-0.04221639659620956
USR_001651,Casual Snackers,17.47,1.91,7.52,1,0.5931,0.114,0.6946,0.128,0.5587,13.1,0,1.15,0,-2.568212493744337,-1.202653368421839
USR_000963,Casual Snackers,41.27,1.04,33.55,1,0.988,0.276,0.3968,0.3038,0.38,6.9,0,1.89,0,-3.5104603430835644,0.29596652981647753
USR_001778,Exploratory Samplers,118.19,4.09,34.02,12,0.4521,0.5948,0.3203,0.8418,0.2154,17.9,0,1.82,3,-0.8517838750014968,0.24001045577768293
USR_000720,Power Streamers,301.6,8.69,37.44,26,0.0382,0.8759,0.5025,0.7626,0.5446,42.4,1,6.5,2,3.2441226255369964,0.5997476108062306
USR_001260,Power Streamers,212.38,5.9,31.57,27,0.1072,0.7895,0.5546,0.7157,0.412,41.8,0,2.11,2,1.9854267783622237,0.29199079418642054
USR_000415,Casual Snackers,42.04,1.06,46.81,10,0.815,0.3208,0.1597,0.0791,0.2449,14.5,0,1.29,0,-3.5049175261247876,1.0322183597867245
USR_001892,Habitual Loyalists,183.81,6.09,35.73,21,0.3573,0.4958,0.8028,0.7987,0.6998,22.3,0,1.74,1,1.6774382439451643,0.06428954579930744
USR_001056,Habitual Loyalists,166.29,4.75,31.65,27,0.2443,0.8687,0.9429,0.516,0.8504,39.7,1,6.5,1,2.671454501228511,0.3427912095360894
USR_001405,Casual Snackers,12.39,2.64,3.27,15,0.9012,0.1799,0.0666,0.3019,0.0632,9.2,0,2.13,0,-3.7971805009324138,-1.3460409456535636
USR_001949,Casual Snackers,21.73,2.47,6.99,13,0.5265,0.2465,0.1168,0.1108,0.1532,4.2,0,2.02,0,-3.1303502392942035,-1.0542138619252484
USR_002322,Casual Snackers,51.06,1.27,49.32,6,0.5652,0.1795,0.3901,0.5272,0.3347,13.7,0,1.73,0,-2.6529957662793398,0.752458372891383
USR_001666,Power Streamers,171.91,7.58,22.92,27,0.3818,0.6324,0.3486,0.7053,0.2981,53.9,1,6.5,3,0.8922731455054362,-0.3928417477575873
USR_000240,Casual Snackers,64.24,1.77,35.24,9,0.4583,0.3523,0.4776,0.342,0.327,1.3,0,2.07,0,-1.9697053905595192,0.32018197192522874
USR_000253,Exploratory Samplers,98.71,3.45,26.45,22,0.2649,0.3138,0.0924,0.4827,0.107,17.4,0,1.2,3,-1.5284949916757713,-0.22947362579243522
USR_002218,Power Streamers,203.42,10.59,16.48,30,0.388,0.5551,0.5102,0.7224,0.347,56.9,1,6.5,2,1.838056910391288,-0.958518250344197
USR_000174,Power Streamers,207.9,7.37,22.33,27,0.0854,0.7466,0.4487,0.6218,0.5007,34.4,0,1.66,2,2.094159745214127,-0.25582808839941895
USR_000768,Casual Snackers,21.47,1.37,14.46,17,0.5661,0.4237,0.0538,0.1394,0.1466,9.9,0,1.62,0,-2.9691348211438013,-0.4788878970527071
USR_001456,Casual Snackers,18.27,1.31,15.61,12,0.6933,0.2322,0.1395,0.2823,0.2248,10.1,0,0.82,0,-3.3505004652119355,-0.6617271737991066
USR_000238,Power Streamers,180.86,10.4,13.31,30,0.2689,0.5939,0.6099,0.6185,0.3938,66.4,1,6.5,2,2.0756933595312232,-1.0931312773507622
USR_000782,Power Streamers,301.28,8.48,36.29,29,0.0253,1.0,0.4747,0.4965,0.4532,39.1,1,6.5,2,3.1618409964699015,0.8079703728560936
USR_001813,Habitual Loyalists,156.48,4.88,32.04,21,0.1047,0.5494,0.7358,0.408,0.6664,34.6,0,1.52,1,1.3657350943409179,0.13192575787315639
USR_000786,Exploratory Samplers,65.98,4.14,14.9,20,0.7219,0.4678,0.2057,0.8156,0.1859,14.9,0,1.44,3,-1.553496414633737,-0.8472810657163626
USR_000556,Casual Snackers,23.33,1.07,22.42,7,0.7784,0.2575,0.2742,0.2625,0.2787,19.1,1,6.5,0,-3.414987564524472,-0.2787640261626046
USR_000875,Habitual Loyalists,140.62,4.33,26.2,22,0.3437,0.5647,0.8208,0.3636,0.5043,28.1,0,1.86,1,0.718678864877174,-0.047204157796682265
USR_001128,Habitual Loyalists,216.65,7.43,23.11,28,0.1507,0.7916,0.7197,0.2745,0.5788,42.6,1,6.5,2,2.4169048576417818,-0.03769461836986827
USR_000486,Exploratory Samplers,85.25,4.06,20.93,20,0.5839,0.0599,0.3328,0.8147,0.4306,19.1,0,2.1,3,-1.3023325541804445,-0.9826457148868022
USR_000101,Power Streamers,235.32,7.05,35.55,29,0.0329,0.7869,0.7516,0.5326,0.5434,57.8,1,6.5,2,2.837048954605055,0.4605457419812607
USR_000045,Power Streamers,286.91,7.71,31.77,29,0.1643,1.0,0.5487,0.5468,0.4042,58.1,1,6.5,2,2.823956670916113,0.623113338231959
USR_001208,Exploratory Samplers,90.09,4.32,22.74,17,0.8221,0.4035,0.1425,0.7034,0.1398,16.6,0,0.87,3,-2.0520910027563155,-0.4141727766120536
USR_000650,Casual Snackers,29.11,1.47,21.1,5,0.6576,0.1419,0.1942,0.1289,0.1616,2.7,1,6.5,0,-3.845039355491791,-0.3837205134359423
USR_000248,Exploratory Samplers,103.8,4.25,25.51,30,0.5669,0.5417,0.3711,0.8935,0.3319,16.3,0,1.94,3,0.0061685264244092635,-0.35344551395236123
USR_002229,Casual Snackers,30.31,1.22,23.51,10,0.5633,0.2018,0.2748,0.3422,0.2515,8.7,0,2.08,0,-2.9777297668075793,-0.35178479540068797
USR_001540,Exploratory Samplers,76.86,6.23,14.79,20,0.2866,0.4403,0.108,0.8466,0.2936,15.3,0,1.36,3,-0.5062259942189892,-1.0951274752165427
USR_002141,Power Streamers,164.44,6.23,21.66,30,0.1261,0.7291,0.7371,0.3818,0.4791,50.1,0,1.5,1,1.9320640035890977,-0.24412977912530273
USR_000708,Power Streamers,290.92,9.09,28.73,30,0.1411,0.9198,0.8681,0.7539,0.5225,42.2,1,6.5,2,3.8160566863744583,0.1551988265437784
USR_001311,Exploratory Samplers,77.28,3.83,23.55,9,0.745,0.472,0.2341,0.8004,0.2348,15.3,0,0.9,3,-1.9711965590714564,-0.35361632209989496
USR_001392,Power Streamers,285.55,10.25,33.65,29,0.351,0.7914,0.8609,0.7752,0.7048,43.1,1,6.5,2,3.7363918362387403,0.1485284942019546
USR_002181,Power Streamers,217.12,6.48,34.05,29,0.085,0.6944,0.7068,0.4207,0.4993,61.5,1,6.5,2,2.2117519585889,0.3751039463099022
USR_001271,Power Streamers,184.6,8.24,19.81,28,0.4145,0.4219,0.9427,0.5283,0.6132,41.5,1,6.5,1,1.9688354513066135,-0.7893611611386251
USR_001434,Casual Snackers,82.9,2.37,33.91,9,0.6157,0.2342,0.4006,0.481,0.3534,1.0,0,1.62,0,-2.1559524602874554,0.1080784080057583
USR_000887,Exploratory Samplers,133.19,4.09,32.61,24,0.7465,0.3086,0.7294,0.8333,0.497,12.7,0,0.84,3,-0.042569017043746084,-0.15719059338319574
USR_001337,Casual Snackers,12.25,2.07,3.0,9,0.5891,0.2947,0.5352,0.0804,0.3559,6.8,0,1.8,0,-2.5228291276435346,-1.2217547878573678
USR_001928,Habitual Loyalists,136.62,6.81,8.28,24,0.19,0.6048,0.9216,0.3643,0.6959,26.3,0,1.5,1,1.9445605303234164,-1.0971162964150052
USR_001969,Exploratory Samplers,109.19,4.84,14.24,21,0.5078,0.4827,0.4015,0.8782,0.2236,21.8,0,0.82,3,-0.461721225692459,-0.902490037012649
USR_001211,Habitual Loyalists,149.64,7.26,14.17,24,0.2489,0.4165,0.6486,0.3254,0.4751,23.6,0,1.85,1,0.8902866032903702,-0.9183758444539765
USR_000870,Casual Snackers,21.72,1.53,15.29,6,0.9195,0.0384,0.1774,0.4568,0.1595,2.6,0,1.51,0,-4.149636452083805,-0.8859513872873472
USR_001682,Power Streamers,199.53,7.49,29.96,28,0.1435,0.6327,0.6842,0.7034,0.5002,30.8,0,1.63,2,2.233213355731259,-0.10552759525185257
USR_001448,Habitual Loyalists,202.13,6.31,24.99,25,0.3984,0.6657,0.9006,0.6688,0.7058,34.6,0,0.97,1,2.248253469101556,-0.19744333862518793
USR_000730,Habitual Loyalists,169.76,3.76,46.32,25,0.0789,0.67,0.8194,0.5137,0.4973,43.7,0,1.68,1,1.5651122050098258,0.9646196178937041
USR_001768,Casual Snackers,47.9,1.33,43.75,7,0.5715,0.5326,0.3311,0.4431,0.2682,10.2,0,2.07,0,-2.325504901784336,0.8761691137977446
USR_002205,Exploratory Samplers,88.5,3.98,20.84,8,0.3356,0.4502,0.2277,0.931,0.1484,25.5,0,1.36,3,-1.4348958116517825,-0.5800373016274535
USR_001799,Habitual Loyalists,126.32,6.42,13.2,24,0.1153,0.7058,0.5236,0.7215,0.4581,50.0,0,1.73,1,1.4002023508300308,-0.8648656801524741
USR_000810,Power Streamers,242.33,7.17,39.27,30,0.1264,0.843,0.7251,0.6098,0.5829,26.2,0,1.47,2,2.9796953522798173,0.6602621514944649
USR_000441,Power Streamers,151.64,7.01,19.15,30,0.3487,0.4105,0.8145,0.6324,0.5691,38.0,0,1.63,1,1.6137714761730124,-0.8604971407645305
USR_001668,Casual Snackers,16.96,2.98,3.0,5,0.826,0.2519,0.2978,0.3197,0.2218,8.6,0,0.81,0,-3.3481041641006857,-1.3331356903037492
USR_001789,Power Streamers,174.22,7.25,17.45,30,0.2187,0.4743,0.8475,0.3793,0.7202,54.1,1,6.5,1,2.178944199093681,-0.7712102754566192
USR_001162,Habitual Loyalists,132.63,6.35,26.74,23,0.2195,0.5397,0.7778,0.6759,0.4757,26.1,0,1.63,1,1.2996544535556271,-0.37678016382144053
USR_000630,Power Streamers,226.21,8.92,21.7,30,0.337,0.7519,0.8804,0.4264,0.7495,44.6,1,6.5,2,3.0890237345155884,-0.32919749044151136
USR_000652,Power Streamers,223.72,10.38,15.26,30,0.1813,0.708,0.9214,0.5387,0.7301,39.1,1,6.5,2,3.5658244846527367,-0.8564010496672492
USR_001584,Casual Snackers,44.07,0.75,63.17,12,0.8623,0.2496,0.2226,0.4307,0.2647,1.0,0,1.18,0,-3.2479870274006504,1.5627952688799494
USR_001200,Habitual Loyalists,175.04,6.77,19.1,24,0.3442,0.7121,0.8688,0.3909,0.6891,28.6,1,6.5,1,2.005468798620126,-0.39064362738735675
USR_001628,Casual Snackers,36.64,3.72,6.31,10,0.6618,0.3857,0.1561,0.277,0.1347,7.0,0,1.98,0,-2.8371324130012705,-1.0584635996513851
USR_001906,Exploratory Samplers,85.82,5.01,16.33,19,0.6183,0.3126,0.0665,0.8243,0.0852,8.7,1,6.5,3,-1.8285158337268443,-0.9307903063724653
USR_000523,Casual Snackers,57.54,1.41,41.38,21,0.4998,0.1187,0.2783,0.3897,0.2744,7.6,1,6.5,0,-2.264854982490385,0.3519648121951098
USR_000839,Exploratory Samplers,101.32,3.74,32.85,19,0.3917,0.367,0.2347,0.7131,0.2052,6.0,1,6.5,3,-1.1690153974488962,-0.011644136087649576
USR_002239,Exploratory Samplers,93.54,3.58,24.99,15,0.5323,0.4987,0.3841,0.9129,0.2912,26.2,1,6.5,3,-0.9012237363106365,-0.3368444555176378
USR_000980,Casual Snackers,39.35,3.55,11.03,10,0.369,0.1479,0.2457,0.2242,0.1598,10.4,1,6.5,0,-2.669600828665875,-1.08101552908683
USR_000200,Exploratory Samplers,97.87,4.9,13.74,23,0.8538,0.5227,0.1971,0.9496,0.2625,10.8,0,1.24,3,-1.018357155139311,-0.8968937145240234
USR_002139,Habitual Loyalists,138.16,5.31,20.22,25,0.4971,0.6059,0.9248,0.28,0.5657,43.8,0,0.93,1,1.0255168515657807,-0.3349526486077349
USR_001138,Exploratory Samplers,139.62,3.55,44.53,20,0.4909,0.8698,0.2028,0.911,0.2444,16.5,1,6.5,3,-0.1369821616770295,1.0204710654365847
USR_002286,Casual Snackers,47.39,1.88,28.77,7,0.6938,0.2095,0.2873,0.2026,0.3181,8.6,0,1.26,0,-3.0836926461237977,-0.031582462032484236
USR_000351,Habitual Loyalists,216.88,4.92,47.47,29,0.2934,0.5292,0.8929,0.4222,0.653,37.5,0,0.81,1,1.93431263304169,0.9294296849217477
USR_001129,Habitual Loyalists,125.71,6.07,19.33,21,0.0888,0.4999,0.8586,0.5832,0.6056,28.9,0,1.45,1,1.5348708265072255,-0.7448280585764613
USR_001403,Power Streamers,280.15,8.05,35.36,29,0.4108,0.8323,0.6491,0.3747,0.3637,22.8,1,6.5,2,2.147033454024949,0.6946123927433379
USR_002035,Casual Snackers,54.18,2.53,21.77,6,0.4894,0.2099,0.1687,0.3076,0.2378,8.7,0,1.23,0,-2.9212621420553164,-0.4294801393767079
USR_000212,Habitual Loyalists,112.96,6.69,19.86,23,0.157,0.4374,0.5919,0.4297,0.4932,24.8,0,1.55,1,0.7730486446473198,-0.7387833896846366
USR_001871,Exploratory Samplers,82.31,2.88,25.59,21,0.4395,0.4239,0.1941,0.7797,0.1432,13.5,1,6.5,3,-1.3941395145328992,-0.28556509508766914
USR_000822,Habitual Loyalists,140.82,7.9,23.44,22,0.1256,0.5431,0.8438,0.208,0.5227,28.7,0,0.95,1,1.491301153976591,-0.4300746222703556
USR_001074,Power Streamers,215.1,9.62,24.4,27,0.0105,0.8055,0.5967,0.8282,0.4388,44.5,1,6.5,2,2.921925296872023,-0.371449450902814
USR_001964,Casual Snackers,45.3,1.1,46.86,15,0.7625,0.3543,0.0502,0.3867,0.0529,11.1,1,6.5,0,-3.379888866744735,0.9450296488825481
USR_001345,Power Streamers,256.88,6.0,44.78,28,0.0483,0.7699,0.5031,0.6419,0.2903,47.3,0,2.02,2,1.975273740833852,1.0221657167512426
USR_001488,Exploratory Samplers,107.74,3.15,35.83,20,0.4936,0.6548,0.5231,0.768,0.4445,12.7,0,1.36,3,-0.007787729277524441,0.37168311923678343
USR_001160,Habitual Loyalists,225.71,6.43,38.91,20,0.4598,0.7626,0.925,0.2324,0.775,17.3,0,1.86,1,2.0343897783929785,0.7928273585787861
USR_002315,Exploratory Samplers,139.31,2.77,48.48,22,0.6388,0.6056,0.3366,0.7434,0.2559,13.2,0,1.43,3,-0.7230329051880188,1.081055471929355
USR_001597,Casual Snackers,40.56,3.28,13.42,13,0.6315,0.2419,0.2024,0.5156,0.1191,4.3,0,1.78,0,-2.7129575418152294,-0.9582503534843838
USR_002398,Casual Snackers,13.46,2.53,12.18,9,0.6132,0.0945,0.1423,0.1518,0.1234,13.5,0,0.8,0,-3.7060023173592067,-0.9751088603035998
USR_002098,Exploratory Samplers,96.67,5.28,18.23,22,0.5,0.4921,0.5191,0.8199,0.3939,10.9,0,1.9,3,0.03505022304469028,-0.7959186612022229
USR_000462,Casual Snackers,92.82,0.95,99.49,7,0.6955,0.305,0.0307,0.0479,0.0954,9.6,0,1.77,0,-3.7473953982767267,3.594223633010752
USR_001562,Habitual Loyalists,211.19,7.15,34.2,23,0.073,0.8617,0.9015,0.4979,0.6787,34.7,0,1.04,2,2.9339864535035667,0.41210483925244074
USR_002113,Casual Snackers,72.38,1.39,55.49,13,0.657,0.3645,0.5684,0.2848,0.4752,9.2,0,1.81,0,-1.7347817593289196,1.3041632850811835
USR_001015,Exploratory Samplers,35.77,2.85,15.86,14,0.3661,0.328,0.2692,0.9,0.2736,20.2,0,1.58,3,-1.569341586333156,-0.9964904140325591
USR_000297,Power Streamers,188.59,7.13,26.01,27,0.2751,0.8189,0.7523,0.7448,0.617,31.7,0,1.58,2,2.5149088812591747,-0.13055713597201105
USR_001642,Casual Snackers,24.38,1.25,17.71,3,0.7536,0.3298,0.366,0.1093,0.2614,4.0,0,0.88,0,-3.436999656226909,-0.35810749738672176
USR_000791,Casual Snackers,60.17,1.96,32.52,9,0.7763,0.196,0.0598,0.253,0.1103,14.2,0,1.72,0,-3.705127721791178,0.19047916190120223
USR_000788,Exploratory Samplers,76.82,5.67,9.26,25,0.5976,0.2791,0.6344,0.8404,0.3862,24.1,0,1.31,3,-0.18224185052813485,-1.5040141639034512
USR_000930,Habitual Loyalists,99.59,3.68,28.53,26,0.125,0.6299,0.9295,0.5409,0.7763,24.7,0,1.52,1,1.795380099805052,-0.11607915803305086
USR_000197,Habitual Loyalists,189.92,5.2,28.13,27,0.2222,0.6095,0.8516,0.7624,0.6137,30.5,0,1.24,1,2.120109717969245,-0.10822076176527214
USR_001248,Casual Snackers,61.64,1.69,36.19,3,0.4411,0.1941,0.0206,0.1543,0.1693,1.7,0,2.0,0,-3.5534726081096135,0.3978822529818258
USR_001843,Casual Snackers,37.04,2.45,8.04,3,0.9637,0.2285,0.1954,0.1394,0.3693,11.1,1,6.5,0,-3.675988909380433,-0.9401261454432347
USR_000938,Casual Snackers,55.96,2.14,30.24,14,0.684,0.3129,0.3289,0.1318,0.2912,14.2,0,0.82,0,-2.543269659575727,0.136631665409076
USR_000618,Exploratory Samplers,84.51,3.15,28.82,15,0.5228,0.2958,0.7382,0.8019,0.5357,9.3,0,1.83,3,-0.47992558018834935,-0.37423169222191516
